term,definition
maxilla,felső állkapocs
maxilla a mandibula,állkapocs
maxillary,arcüregi
maxime,legtöbb
maximus,legnagyobb
meatotomia,nyílás bemetszése
meatus,"átjárat, nyílás, cső, testtartás"
meatus acusticus,hallójárat
meatus acusticus externus,külső hallójárat
meatus acusticus internus,belső hallójárat
meatus nasi,orrjárat
meatus nasi communis,közös orrjárat
mechanoreceptori,mehanikus érzékelők
meconium,"magzatszurok - a magzati életkorban keletkező sötétzöld-fekete színű béltartalom, mely a megszületés után az első széklettel ürül"
Medi-,Középső
Medialis,A test középvonalához közelebb eső
medianus,középen lévő
mediastinalis,mediastinális
mediastini,mediastinummal kapcsolatos
mediastinitis fibrotisans,fibrotizáló mediastinitis
mediastinoscopia,mediasztinoszkópia
Mediastinum,Gátor (mellüreg középső része)
mediastrum,középen álló sövény
medicamentum,gyógyszer
medicatio,gyógyszerelés
medicus,orvos
mediocris,közepes
mediocris gradus,közepes fokozatú
mediolateralis,mediolaterális
medius,Középső
medulla,"szerv/szövet központi része, velő"
medulla adrenalis,mellékvesevelő
medulla glandulae suprarenalis,mellékvesevelő
medulla oblongata,nyúltagy
medulla ossium,csontvelő
medulla ossium flava,sárga csontvelő
medulla ossium flavum,sárga zsírvelő
medulla ossium rubra,vörös csontvelő
medulla renis,velőállomány
medulla spinalis,gerincvelő
medulla suprarenalis,mellékvesevelő
medullaris,velőhöz tartozó
medullatus,velős
mega-,óriás-
megalia,Megnagyobbodás
megalis,Megnagyobbodás
megalo-,óriás-
meibomianitis,Meibom-mirigy-gyulladás
mel crudum,nyers méz
mel depuratum,tisztított méz
mel rosatum,rózsa-méz
melaena,szurokszéklet
melanocita,a bőr színárnyalatát adó pigmentsejt
melanoderma,sötétbőrűség
melanosis,barnás vastagbélelszíneződés
melilotus,dutkóró
melissa,citromfű
melitis,arcgyulladás
membrana,"hártya, lemez, burok"
membrana basalis,alaphártya
membrana basalis,bazális membrán
membrana basilaris,alapmembrán
membrana erythrocyti,vörösvérsejt hártya
membrana fibroelastica laryngis,gége kötőszövetes váza
membrana obturatoria,záróhártya
membrana quadrangularis,négyszögletes lemezek
membrana testacea,héjhártya
membrana typanica,dobhártya
membranaceus,hártyás
membrum,testrész
membrum inferior,alsó végtag
membrum superior,felső végtag
memoria,emlékezet
menarche,az élet során jelentkező legelső menstruáció
Mening-,Hártya
meninges,agyhártyák
meningitis,agyhártyagyulladás
meningo-,agyhártya-
meningoencephalitis,agyhártya- és agyvelőgyulladás
meninx,agyhártya
meniscus,térdizületi porc
meno-,menstruáció-
menopausa,változás korának kezdete
mens,elme
mental,szellemi
mentális,állal kapcsolatos
mentha,menta
mentum,állcsúcs
meropia,részleges vakság
Mes-,Középső
mesencephalicus,középaggyal kapcsolatos
mesencephalon,középagy
mesenchyma,alapszövet
Mesenterium,Bélfodor
Mesialis,Középvonalhoz közeleső
meso-,középső
mesoderma,középső csíralemez
mesonephros,ősvese
mesothelioma,savósburok-daganat
mesothenar,"talpközép, tenyérközép"
meta,"utána, között"
metabolicus,anyagcseréhez tartozó
metabolismus calcii,kalcium-anyagcsere
metacarpus,kézközép
metamer,szelvényes
metameria,szelvényezettség
metanephros,utóvese
metastasis,daganatáttét
metastasis sceletoni,csontváz-áttétel
metastaticus,áttételes
metasztázis,áttét (rosszindulatú betegésgekben)
metatarsalgia,lábközép táji fájdalom
metatarsalis,lábközépfájdalom
Metatarsus,Lábközép
metencephalon,utóagy felső része
meteorismus,szelesség
methaemoglobinaemia,kék betegség
methaemoglobinum,methemoglobin
methodus investigativi,kutatási eljárások
methodus laboratoricus,laboratóriumi metódus
metopo-,homlok-
metritis,méhgyulladás
metro,méh
metrocyta,anyasejt
metropathia,méhbántalom
metropathia haemorrhagica,kóros méhvérzés
metrorrhagia,méhvérzés menstruáción kívül
miastenia,izomgyengeség
micrencephalia,a normálisnél kisebb agy
micro-,kisméretű
microangiopathia,kisér-bántalom
microangiopathia,kisér-betegség
microcephalia,kisfejűség
microcirculatio,mikrocirkuláció
microemollitio,kis lágyulás
micrognathia,kisállúság
micronodularis,kis csomókat tartalmazó
microphthalmos,kis szemgolyók
microsoma,sejtalkotó anyag
migrans,vándorló
mikroglosszia,a nyelv a szokásosnál kisebb méretű
miliaris,kölesnyi
minimus,minimális
"Minor, minus",kisebb
minutim,darabokban
mioglobin,izomfesték
miokardiális infarktus,lásd szívinfarktus
mirabilis,csodálatos
misanthropia,"emberkerülés, embergyűlölet"
mitigatio,"gyengítés, mérséklés"
mitis,"enyhe, szelíd"
mítra,sisak
mitrális billentyű,a bal pitvart és a bal kamrát elválasztó billentyű
mitrális prolapszus,a mitrális billentyű gyengesége következtében a bal kamra összehúzódásakor vér visszafele áramlása
mixtura,keverék
mixturae compositae,komplex keverékek
mnesia,emlékezet
modulatio,hanglejtés
modus,mód
mola,üszökterhesség
mola sanguinolenta,vérüszök
molaris,őrlő
molaris tertius,bölcsességfog
monobrachia,félkarúság
monocyti,fehérvérsejtek egy csoportja
monocytosis,"fehérvérsejtek magasabb száma (fertőzés, betegség miatt)"
mononucleosis,csókláz
mononucleosis,Pfeiffer-féle mirigyláz
Mononucleosis infectiosa,Immunhiány Epstein-Barr vírusra adott örökletes defektív válasszal
monoparesis,egy végtag izomgyengeség
monophthalmia,félszeműség
monops,félszemű
"monos, mono-","egyes, egyetlen, egyedüli"
mons,"domb, domborulat"
mons pubis,szeméremdomb
mons veneris,Vénusz-domb
mora,"késedelem, késés, késleltetés"
morbi,betegségek
morbi animalium,állatbetegségek
morbi cardiovasculares,szív és érrendszeri betegségek
morbi oculi,szembetegségek
morbi parasitici,élősködő betegségek
morbi parasitici,parazitikus betegségek
morbi systematis digestorii,emésztőrendszer betegségei
morbi systematis immuni,immunrendszer betegségei
morbi systematis nervosi,idegrendszeri betegség
morbi tractus respiratorii,légzőrendszeri betegségek
morbi virosi,vírusos betegségek
morbilli,kanyaró
morbillosus,kanyarós
morbus,"baj, kór, rendellenesség"
morbus Alzheimer,Alzheimer-betegség
morbus autotoxicus,autoimmun betegség
morbus Bechterev,Bechterew-kór
morbus Crohn,Crohn-betegség
Morbus Down,Down-kór
Morbus Dupuytren,Dupuytren-kontraktúra
morbus Graves-Basedow,Basedow-kór
morbus haemoliticus neonatarum,UHB
morbus iatrogenus,iatrogén betegség
morbus renalis,vesebetegség
morbus Scheuermann,Scheuermann kór
morbus tumorosus,daganatos betegség
moribundus,haldokló
moriens,haldokló
morphinum,morphin
morphinum hydro-chloricum,sósavas morphin
morphologia,alaktan
mors,halál
morsus,"harapás, marás"
mortuus,halott
morula,szedercsíra
morum,szeder
moschus,pézsma
motivatio,indíték
motoricus,mozgató
MR,"mágneses rezonancia, képalkotó diagnosztikai eljárás"
MRF,egyenes combizom
mucilago gummi arabici,arab mézgás oldat
mucosa,nyálkahártya
mucosae,nyálkahártyáé
mucosus,"nyúlós, nyálkás"
muculus rectus abdominis,egyenes hasizom
mucus,"nyálka, nyák"
mulier,nő
multi-,sok
multifactorialis,multifaktorális
multifocalis,"többgócú, többközpontú"
multiformis,"sokarcú, többalakú"
multipara,többedszer szülő nő
"multiple organ failure, MOF",többszervi elégtelenség
multiplex,"sokrétű, sokszoros"
multiresistentia,multirezisztencia
multum,nagy rész
multus,sok
muralis,falfestés
mus,egér
musca,"légy, repül"
musclui externi bulbi oculi,szemmozgató izmok
muscularis,izmos
musculatura pharyngis,garatizomzat
musculi,izmok
musculi abdominis,hasizmok
musculi capitis,fejizmok
musculi colli,nyakizmok
musculi dorsi,hátizmok
musculi faciei,arcizmok
musculi glabri,sima izom
musculi infrahyoidei,nyelvcsont alatti izmok
musculi intercostales,borda közti izmok
musculi interossei,csont közötti izmok
musculi intertransversarii thoracis,csigolya harántnyúlvány közti izmok a mellüregben
musculi laryngis,gégeizmok
musculi masticatorii,rágóizmok
musculi membri inferioris,alsó végtag izmai
musculi oculomotorii,szemmozgató izmok
musculi papillares,szemölcsizmok
musculi pedis,lábizmok
musculi pharyngei,garat izmok
musculi pharyngis,garat izmok
musculi psoas,horpaszizom
musculi thoracis,mellkasizmok
musculi. respiratorii,légzőizmok
musculus,izom
musculus abductor,távolító izom
musculus abductor digiti minimi,kisujjtávolító izom
musculus abductor hallucis,nagyujjtávolító izom a lábon
musculus abductor pollicis brevis,rövid hüvelykujj-távolító izom
musculus abductor pollicis longus,hosszú hüvelykujjtávolító izom
musculus adductor brevis,rövid combközelítő izom
musculus adductor hallucis,nagyujjtávolító izom
musculus adductor longus,hosszú combközelítő izom
musculus adductor magnus,nagy combközelítő izom
musculus adductor pollicis,hüvelykujj-közelítő izom
musculus anconeus,"könyök-, könyökfeszítő izom"
musculus arrector pili,szőrfelegyenesítő izom
musculus biceps brachii,kétfejű-karhajlító izom
musculus biceps femoris,kétfejű combizom
musculus bipennatus,kéttollú izomtípus
musculus brachialis,felkari izom
musculus brachioradialis,karhajlító izom
musculus buccinator,trombitás izom
musculus ceratocricoideus,merkel-izom
musculus ciliaris,sugárizom
musculus coccygeus,farkcsonti izom
musculus constrictor pharyngis superior,felső garat-összeszorító izom
musculus coracobrachialis,hollócsőr-karizom
musculus cremaster,herezacskó falában lévő izom
musculus deltoideus,deltaizom
musculus extensor digitorum,ujjakat feszítő izom
musculus extensor digitorum longus,hosszú lábujjakatfeszítő izom
musculus extensor hallucis longus,hosszú öregujfeszítő izom
musculus flexor,hajlító izom
musculus flexor digitorum profundus,mély ujjakat hajlító izom
musculus flexor hallucis longus,hosszú lábujjakat-hajlító izom
musculus gastrocnemius,lábikraizom
musculus gemellus inferior,alsó ikerizom
musculus glaber,sima izom
musculus gluteus,farizom
musculus gluteus maximus,nagy farizom
musculus gluteus medius,középső farizom
musculus gracilis,karcsú izom
musculus iliacus,csípőizom
musculus iliocostalis,csípőbordaizom
musculus iliopsoas,csípőhorpaszizom
musculus infraspinatus,tövis alatti izom
musculus intercostalis externus,külső bordaközti izom
musculus latissimus dorsi,Széles hátizom
musculus levator scapulae,lapockaemelő izom
musculus lumbricales,gilisztaizom
musculus masseter,széles rágóizom
musculus mylohyoideus,szájfeneket lezáró izom/nyelvcsont feletti izom
musculus obliquus abdominis externus,külső ferde hasizom
musculus obliquus abdominis internus,belső ferde hasizom
musculus orbicularis oculi,szemrés körkörös záróizma
musculus orbicularis oris,szájrés körüli körkörös záróizom
musculus papillares,szemölcsizom
musculus pectineus,fésűsizom
musculus pectoralis,mellizom
musculus pectoralis major,nagy mellizom
musculus pectoralis minor,Kis mellizom
musculus peroneus,szárkapocsizom
musculus peroneus brevis,rövid szárkapcsi izom
musculus peroneus longus,hosszú szárkapcsi izom
musculus piriformis,körteképű izom
musculus pronator,borintóizom
musculus psoas major,nagy horpaszizom
musculus pterygoideus externus,külső röpizom
musculus pterygoideus internus,belső röpizom
musculus quadratus femoris,négyszögű combizom
musculus quadratus lamborum,hátsó hasfalizom
musculus quadratus lumborum,négyszög alakú lapos izom
musculus quadriceps,négyfejű izom
musculus quadriceps femoris,combizom
musculus rectus abdominis,egyenes hasizom
musculus rectus femoris,egyenes combizom
musculus sartorius,szabóizom
musculus scalenus anterior,elülső ferde nyakizom
musculus scalenus medius,középső ferde nyakizom
musculus semimembranosus,félhártyás izom
musculus semitendinosus,féliginasizom
musculus serratus anterior,elülső fűrészizom
musculus soleus,gázló izom
musculus sphincter,záróizom
musculus sphincter ani,végbél záróizma
musculus sphincter ani externus,végbélnyílás külső záróizma
musculus sphincter Oddi,közös epevezetéket lezáró izom
musculus sphincter oesophagealis distalis,alsó nyelőcsői záróizom
musculus sphincter oesophagealis superior,felső nyelőcsői záróizom
musculus sphincter oesophagealis susperior,felső nyelőcsői záróizom
musculus sphincter oesophagi inferior,alsó nyelőcső záróizom
musculus sphincter pylori,pylorus körkörös záróizma
musculus sphincter vesicae,húgyhólyag záróizma
musculus sternocleidomastoideus,fejbiccentő izom
musculus subscapularis,lapocka alatti izom
musculus supra- et infraspinatus,lapockatövis feletti és alatti izom
musculus supraspinatus,tövis feletti izom
musculus temporalis,halántékizom
musculus tensor fasciae latae,combpólyafeszítő izom
musculus tensor tympani,musculus tensor tympani
musculus teres,görgetegizom
musculus teres major,nagy görgetőizom
musculus teres major et minor,nagy és kis görgetegizom
musculus tibialis anterior,elülső sípcsonti izom
musculus transversospinalis,haránt tövisnyulványi izom
musculus transversus abdominis,haránt hasizom
musculus trapesius,csuklyásizom
musculus triceps brachii,háromfejű karizom
musculus triceps surae,"háromfejű lábikraizom, Achilles-ín"
musculus zygomaticus major,nagy járomcsonti izom
musculus zygomaticus minor,kis járomcsonti izom
mussitatio,hangtalan ajakmozgás
mutitas,némaság
muton,gén mutációs egysége
My-,Izom
myalgia,izomfájdalom
myco-,gomba-
mycobacterium,mycobacterium
mycoides,gombaszerű
mycosis capitis,fejbőr-gombásodás
mycosis fungoides,ritka daganatos betegség (egyfajta limfóma)
mycoticus,gombás-
myel-,velővel kapcsolatos
myelencephalon,utóagy alsó része
myelitis,gerincvelőgyulladás
myelo-,gerincvelő-
myelocysta,gerincvelőciszta
myelodysplasia,myelodysplasiás szindróma
myelodysplasia de novo,újonnan keletkezett myelodysplasia
myelokele,gerincvelősérv
myeloma multiplex,Myeloma multiplex
myelon,gerincvelő
myelopathia,gerincvelőbántalom
myelopoesis,csontvelőképződés
myeloradiculitis,myeloradiculitis
mylo,őrlő
myo,izom
myo-,izom-
myocardialis,szívizommal kapcsolatos
myocardiopathia,szívizombetegség
myocarditis,szívizomgyulladás
myocardium,szívizom
myodynia,izomfájdalom
myofibrillae,izomrostok
myoglobin,izom hemoglobin
myoid,izomszerű
myologia,izomtan
myoma,izomdaganat
myometrium,méhizomzat
myométrium,méhizomzat
myopathia,izombántalom
myopia,rövidlátás
myorelaxant,izom elernyesztő
myositis,krónikus izomgyulladás
myotom,izomszelvény
myotomia,izommetszés
myotonia,izomtónus
myringo-,dobhártya-
myrrha,"balzsamfa szirupja, mirha"
mystax,bajusz
Myx-,Nyálka
n. cranialis,agyideg
n. glossopharyngeus,nyelv-garat ideg
n. medianus,középideg
n. musculocutaneus,izombőrideg
n. radialis,orsóideg
n. ulnaris,singcsonti ideg
naevus,anyajegy
naevus flammeus,vörösborszínű éranyajegy
nanosomia,törpenövés
nanus,törpe
Narc-,Érzéketlenség
narcosis,eszméletvesztés
nares,orrnyílások
naris,orrlyuk
Nas-,Orr
nasalis,orral kapcsolatos
nasitis,orrgyulladás
nasogutta,orrcsepp
nasopharynx,orrgarati
Nasus,orr
nasus externus,külső orr
natis,alsó
nativus,született
natrium,"Na+ (szérum), nátrium"
natrium aceticum,ecetsavas natrium
natrium boracicum,bórsavas natrium
natrium bromatum,bromnatrium
natrium carbonicum crystallisatum,jegecedett szénsavas natrium
natrium chloratum,"kősó, szikenyhalvag"
natrium hydro-carbonicum,szénsavas hydro-natrium
natrium hydro-oxydatum solutum,oldott szikeny-könéleg
natrium iodatum,iodnatrium
natrium nitricum,légenysavas natrium
natrium phosphoricum,phosphorsavas natrium
natrium sulfuricum crystallisatum,jegevedett kénsavas natrium
natus,születés
nausea,rosszullét
navicularis,csónak alakú
necro-,elhalt
necrophobia,halottfélelem
necropsia,hullavizsgálat
necrosis,szövetelhalás
necrosis cerebri,agyelhalás
necrosis cutis,bőrelhalás
necrosis localis,nekrózis
necrosis pancreatica infectiosa,fertőző hasnyálmirigy-elhalás
necroticus,elhalt
necrotomia,hullaboncolás
Neisseria meningitidis,meningococcus
nekrósis,"elhalás, szövetelhalás"
nekrózis,adott szerv vagy szövet vérellátási zavar okozta elhalása
nematocyta,csalánsejt
generatio alternans,Nemzedékváltakozás
neo-,új
neocortex,újkéreg
neonatus,újszülött
neopallium,újkéreg
neoplasia,szövet vagy szerv abnormális növekedése
Neoplasma glandulae salivaris,Nyálmirigydaganat
neoplasma laryngis,gégedaganat
neoplasma laryngis malignum,rosszindulatú gégedaganat
Neoplasma linguae,Nyelvdaganat
neoplasma thymi,csecsemőmirigy-daganat
neoplasma ventriculi,gyomordaganat
neoplasmata,daganatok
Nephr-,Vese
nephrectomia,vese kimetszés
nephritis,vesegyulladás
nephro-,veséhez tartozó
nephrocolica,vesegörcs
nephrolithiasis,vesekőbetegség
nephroma,vesedaganat
nephropathia,vesebetegség
nephrorrhagia,vesevérzés
nephros,vese
nephrosclerosis,vesekeményedés
nephrosis,nephrosis
nephrostoma,csillós tölcsér
nephrotomia,vese műtéti metszése
nervfläta i autonoma nervsystemet,prevertebrális plexus-képződmények
nervi craniales,agyidegek
nervi craniales et spinales,agy és gerinvelői idegek
nervi intercostales,bordaközti idegek
nervi laryngis,hörgőidegek
nervi lumbales,ágyéki idegek
nervi olfactorii,szaglóidegek
nervi peripherales,periferális idegek
